,adobo,almond_jelly,apple_pie,ayam_bakar,ayam_goreng,babi_guling,bagel,bak_kut_teh,baked_salmon,ball_shaped_bun_with_pork,barbecued_red_pork_in_sauce_with_rice,bean_curd_family_style,beef_bowl,beef_curry,beef_in_oyster_sauce,beef_noodle,beef_noodle_soup,bibimbap,boiled_chicken_and_vegetables,boiled_fish,boned_sliced_hainan_style_chicken_with_marinated_rice,braised_pork_meat_ball_with_napa_cabbage,broiled_eel_bowl,brownie,bubur_ayam,cabbage_roll,caesar_salad,champon,charcoal_boiled_pork_neck,chicken_cutlet,chicken_n_egg_on_rice,chicken_nugget,chicken_rice,chicken_rice_curry_with_coconut,chilled_noodle,chinese_pumpkin_pie,chinese_soup,chip_butty,chop_suey,chow_mein,churro,clear_soup,coconut_milk_flavored_crepes_with_shrimp_and_beef,coconut_milk_soup,cold_tofu,crape,cream_puff,crispy_noodles,croissant,croquette,crullers,curry_puff,custard_tart,cutlet_curry,dak_galbi,deep_fried_chicken_wing,dipping_noodles,dish_consisting_of_stir_fried_potato_eggplant_and_green_pepper,doughnut,dried_fish,dry_curry,eels_on_rice,egg_noodle_in_chicken_yellow_curry,egg_omelet,egg_roll,egg_sunny_side_up,eggplant_with_garlic_sauce,eight_treasure_rice,fine_white_noodles,fish_ball_soup,fish_shaped_pancake_with_bean_jam,french_bread,french_fries,french_toast,fried_chicken,fried_fish,fried_mussel_pancakes,fried_noodle,fried_pork_dumplings_served_in_soup,fried_pork_in_scoop,fried_rice,fried_shrimp,fried_spring_rolls,ganmodoki,ginger_pork_saute,glutinous_oil_rice,glutinous_rice_balls,goya_chanpuru,gratin,green_curry,green_salad,grilled_eggplant,grilled_pacific_saury,grilled_salmon,gulai,ham_cutlet,hambarg_steak,hamburger,haupia,hot_and_sour_fish_and_vegetable_ragout,hot_dog,hot_pot,hot_sour_soup,hue_beef_rice_vermicelli_soup,inarizushi,jambalaya,japanese_style_pancake,japanese_tofu_and_vegetable_chowder,jiaozi,jjigae,kamameshi,kaya_toast,khao_soi,kinpira_style_sauteed_burdock,kung_pao_chicken,kushikatu,laksa,lamb_kebabs,lasagna,laulau,lemon_fig_jelly,lightly_roasted_fish,loco_moco,lumpia,macaroni_salad,malasada,mango_pudding,meat_loaf,mie_ayam,mie_goreng,minced_meat_cutlet,minced_pork_rice,minestrone,miso_soup,mixed_rice,moon_cake,mozuku,muffin,mushroom_risotto,nachos,namero,nanbanzuke,nasi_campur,nasi_goreng,nasi_padang,nasi_uduk,natto,noodles_with_fish_curry,oatmeal,oden,okinawa_soba,omelet,omelet_with_fried_rice,oshiruko,oxtail_soup,oyster_omelette,paella,pancake,parfait,pho,pilaf,pizza,pizza_toast,popcorn,pork_belly,pork_cutlet,pork_cutlet_on_rice,pork_fillet_cutlet,pork_loin_cutlet,pork_miso_soup,pork_satay,pork_sticky_noodles,pork_with_lemon,pot_au_feu,potage,potato_salad,raisin_bread,ramen_noodle,rare_cheese_cake,rice,rice_ball,rice_crispy_pork,rice_gratin,rice_gruel,rice_vermicelli,rice_with_roast_duck,roast_chicken,roast_duck,roll_bread,salmon_meuniere,salt_pepper_fried_shrimp_with_shell,samul,sandwiches,sashimi,sashimi_bowl,sausage,sauteed_spinach,sauteed_vegetables,scone,scrambled_egg,seasoned_beef_with_potatoes,shortcake,shrimp_patties,shrimp_with_chill_source,simmered_pork,sirloin_cutlet,small_steamed_savory_rice_pancake,soba_noodle,sour_prawn_soup,spaghetti,spaghetti_meat_sauce,spam_musubi,spicy_chicken_salad,spicy_chili_flavored_tofu,steak,steamed_egg_hotchpotch,steamed_meat_dumpling,steamed_rice_roll,steamed_spareribs,stew,stewed_pork_leg,stinky_tofu,stir_fried_beef_and_peppers,stir_fried_mixed_vegetables,sukiyaki,sushi,sushi_bowl,sweet_and_sour_pork,tacos,takoyaki,tanmen,tempura,tempura_bowl,tempura_udon,tensin_noodle,teriyaki_grilled_fish,thai_papaya_salad,thinly_sliced_raw_horsemeat,three_cup_chicken,tiramisu,toast,tortilla,trunip_pudding,twice_cooked_pork,udon_noodle,vegetable_tempura,vermicelli_noodles_with_snails,waffle,winter_melon_soup,wonton_soup,xiao_long_bao,yakitori,yellow_curry,yudofu,zha_jiang_mian,zoni,Total_Predicted
adobo,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
almond_jelly,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
apple_pie,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
ayam_bakar,0,0,0,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
ayam_goreng,0,0,0,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
babi_guling,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
bagel,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
bak_kut_teh,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
baked_salmon,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109
ball_shaped_bun_with_pork,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
