Class,Accuracy,Precision,Recall,F1_Score,F1_Score_Weighted,Support
OVERALL,0.9258751514378627,0.9546502899597211,0.945970874080023,0.949461413441238,0.9271883032233612,31366
adobo,0.9824561403508771,0.9655172413793104,0.9824561403508771,0.9739130434782608,0.9271883032233612,114
almond_jelly,1.0,0.9719626168224299,1.0,0.985781990521327,0.9271883032233612,104
apple_pie,0.9900990099009901,1.0,0.9900990099009901,0.9950248756218906,0.9271883032233612,101
ayam_bakar,0.9824561403508771,0.9655172413793104,0.9824561403508771,0.9739130434782608,0.9271883032233612,114
ayam_goreng,0.883495145631068,0.9479166666666666,0.883495145631068,0.9145728643216081,0.9271883032233612,103
babi_guling,1.0,1.0,1.0,1.0,0.9271883032233612,108
bagel,1.0,0.9813084112149533,1.0,0.9905660377358491,0.9271883032233612,105
bak_kut_teh,0.9813084112149533,1.0,0.9813084112149533,0.9905660377358491,0.9271883032233612,107
baked_salmon,0.9908256880733946,0.9908256880733946,0.9908256880733946,0.9908256880733946,0.9271883032233612,109
ball_shaped_bun_with_pork,1.0,0.9827586206896551,1.0,0.9913043478260869,0.9271883032233612,114
barbecued_red_pork_in_sauce_with_rice,0.9821428571428571,0.9166666666666666,0.9821428571428571,0.9482758620689654,0.9271883032233612,112
bean_curd_family_style,0.9619047619047619,0.9439252336448598,0.9619047619047619,0.9528301886792454,0.9271883032233612,105
beef_bowl,0.7425149700598802,0.8157894736842105,0.7425149700598802,0.7774294670846396,0.9271883032233612,167
beef_curry,0.8975409836065574,0.8423076923076923,0.8975409836065574,0.8690476190476191,0.9271883032233612,244
beef_in_oyster_sauce,0.9532710280373832,0.9714285714285714,0.9532710280373832,0.9622641509433962,0.9271883032233612,107
beef_noodle,0.9136690647482014,0.9548872180451128,0.9136690647482014,0.9338235294117647,0.9271883032233612,139
beef_noodle_soup,0.9745762711864406,0.9274193548387096,0.9745762711864406,0.9504132231404958,0.9271883032233612,118
bibimbap,1.0,0.9411764705882353,1.0,0.9696969696969697,0.9271883032233612,112
boiled_chicken_and_vegetables,0.9714285714285714,1.0,0.9714285714285714,0.9855072463768115,0.9271883032233612,105
boiled_fish,0.9174311926605505,0.9900990099009901,0.9174311926605505,0.9523809523809524,0.9271883032233612,109
boned_sliced_hainan_style_chicken_with_marinated_rice,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9271883032233612,112
braised_pork_meat_ball_with_napa_cabbage,0.9915254237288136,1.0,0.9915254237288136,0.9957446808510638,0.9271883032233612,118
broiled_eel_bowl,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9826086956521739,0.9271883032233612,115
brownie,0.9907407407407407,1.0,0.9907407407407407,0.9953488372093023,0.9271883032233612,108
bubur_ayam,0.9907407407407407,0.981651376146789,0.9907407407407407,0.9861751152073732,0.9271883032233612,108
cabbage_roll,1.0,1.0,1.0,1.0,0.9271883032233612,107
caesar_salad,1.0,0.9629629629629629,1.0,0.9811320754716981,0.9271883032233612,104
champon,0.9716981132075472,0.9903846153846154,0.9716981132075472,0.9809523809523809,0.9271883032233612,106
charcoal_boiled_pork_neck,0.991304347826087,0.991304347826087,0.991304347826087,0.991304347826087,0.9271883032233612,115
chicken_cutlet,0.8672566371681416,0.8305084745762712,0.8672566371681416,0.8484848484848485,0.9271883032233612,113
chicken_n_egg_on_rice,0.9752066115702479,0.9007633587786259,0.9752066115702479,0.9365079365079365,0.9271883032233612,121
chicken_nugget,0.970873786407767,0.9803921568627451,0.970873786407767,0.975609756097561,0.9271883032233612,103
chicken_rice,0.97,0.9797979797979798,0.97,0.9748743718592964,0.9271883032233612,100
chicken_rice_curry_with_coconut,0.9903846153846154,0.9903846153846154,0.9903846153846154,0.9903846153846154,0.9271883032233612,104
chilled_noodle,0.9743589743589743,1.0,0.9743589743589743,0.9870129870129869,0.9271883032233612,117
chinese_pumpkin_pie,1.0,1.0,1.0,1.0,0.9271883032233612,102
chinese_soup,0.7151515151515152,0.8428571428571429,0.7151515151515152,0.7737704918032787,0.9271883032233612,165
chip_butty,0.9594594594594594,0.9102564102564102,0.9594594594594594,0.9342105263157894,0.9271883032233612,148
chop_suey,0.95,0.95,0.95,0.9500000000000001,0.9271883032233612,100
chow_mein,0.9224137931034483,0.9553571428571429,0.9224137931034483,0.9385964912280702,0.9271883032233612,116
churro,1.0,0.9913793103448276,1.0,0.9956709956709957,0.9271883032233612,115
clear_soup,0.9739130434782609,0.9824561403508771,0.9739130434782609,0.9781659388646288,0.9271883032233612,115
coconut_milk_flavored_crepes_with_shrimp_and_beef,0.972972972972973,0.9818181818181818,0.972972972972973,0.9773755656108598,0.9271883032233612,111
coconut_milk_soup,0.990990990990991,0.9565217391304348,0.990990990990991,0.9734513274336283,0.9271883032233612,111
cold_tofu,0.7579617834394905,0.9296875,0.7579617834394905,0.8350877192982457,0.9271883032233612,157
crape,1.0,1.0,1.0,1.0,0.9271883032233612,101
cream_puff,0.9814814814814815,1.0,0.9814814814814815,0.9906542056074767,0.9271883032233612,108
crispy_noodles,0.94,0.94,0.94,0.94,0.9271883032233612,100
croissant,0.9833333333333333,0.9752066115702479,0.9833333333333333,0.979253112033195,0.9271883032233612,120
croquette,0.8412698412698413,0.9464285714285714,0.8412698412698413,0.8907563025210083,0.9271883032233612,126
crullers,0.972972972972973,1.0,0.972972972972973,0.9863013698630138,0.9271883032233612,111
curry_puff,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.9271883032233612,113
custard_tart,1.0,1.0,1.0,1.0,0.9271883032233612,101
