Ingredient,Precision,Recall,F1-score
mascarpone,0.9230769230769231,0.75,0.8275862068965517
coconut oil,0.9473684210526315,0.5806451612903226,0.72
coffee,0.64,0.8,0.7111111111111111
croutons,0.7692307692307693,0.625,0.6896551724137931
lamb,0.6,0.7333333333333333,0.66
bbq sauce,0.6857142857142857,0.631578947368421,0.6575342465753424
yeast,0.5723270440251572,0.7054263565891473,0.6319444444444444
duck,0.6486486486486487,0.6,0.6233766233766234
oil,0.45679969004261917,0.9523424878836834,0.617439120188531
noodles,0.5097236438075742,0.7649769585253456,0.6117936117936118
soy sauce,0.4492650545282124,0.9556227937468482,0.6111917432672149
flour,0.47443331576172904,0.8108108108108109,0.5986032590621883
garlic,0.4419889502762431,0.864397622906537,0.5849022116614878
salt,0.40233284047971085,0.9975560081466395,0.5734020135799579
strawberries,0.4358974358974359,0.8095238095238095,0.5666666666666667
mozzarella,0.5595238095238095,0.573170731707317,0.5662650602409639
coconut,0.4676724137931034,0.6910828025477707,0.5578406169665809
sugar,0.39324706833805095,0.948780487804878,0.5560320182961692
pepper,0.40562248995983935,0.7687353629976581,0.5310414560161779
egg,0.37037037037037035,0.9344660194174758,0.5304857044436789
pasta,0.45933014354066987,0.6114649681528662,0.5245901639344263
bread,0.5254901960784314,0.5153846153846153,0.5203883495145631
gelatin,0.39,0.78,0.52
chicken,0.3596362569668525,0.9115241635687732,0.515776188472865
oysters,0.47368421052631576,0.5625,0.5142857142857142
butter,0.40308483290488434,0.7063063063063063,0.5132569558101473
mussels,0.47619047619047616,0.5555555555555556,0.5128205128205128
water,0.3445624313438301,0.9766476388168137,0.5094058735958857
breadcrumbs,0.4199029126213592,0.6313868613138686,0.5043731778425656
sour cream,0.6666666666666666,0.4,0.5
